	pielou_evenness
1	0.8677867112278292
10	0.8972929958294694
11	0.8043957338050325
12	0.883824898165188
2	0.8736044427214921
3	0.8599148171913726
4	0.8811415835314718
5	0.8493158878374845
6	0.8415965295857757
7	0.8809216365348876
8	0.8911255375505456
9	0.855717407783996
