	shannon_entropy
1	4.2156913509690535
10	4.402918562741018
11	3.781013656280424
12	4.735137854896277
2	4.1997266176485555
3	4.299574085956864
4	4.405707917657359
5	4.356381559506345
6	4.4166375828318305
7	4.780114027983752
8	4.742506034361852
9	4.113737292200767
