	faith_pd
1	5.120770239577448
10	6.272824679543152
11	7.523423747189625
12	6.9160253786256956
2	5.281170116384791
3	7.137352061950313
4	5.581990891332955
5	5.809758991945992
6	5.7773993013705525
7	6.945482153845749
8	6.695310755612667
9	5.9783161647580325
